enable_astar_fallback,enable_confidence_fallback,fallback_confidence_threshold,fallback_min_step,fallback_no_progress_patience,fallback_max_calls,model_type,samples,path_validity,exact_match,step_accuracy,optimality_gap_mean,optimality_gap_p95,success_under_1_5x,path_length_ratio_mean,astar_ms_per_query,policy_ms_per_query,speedup_astar_over_policy,speedup_policy_over_astar,stage,score
True,False,0.26,9,0,1,cnn_large,120.0,1.0,0.825,nan,0.058182488807488796,0.30897435897435893,0.9833333333333333,1.0581824888074889,0.16446166434131254,38.32656083371452,0.00429106240590837,233.04252080396185,refine,1112.5033862498094
True,False,0.26,9,2,1,cnn_large,120.0,1.0,0.825,nan,0.058182488807488796,0.30897435897435893,0.9833333333333333,1.0581824888074889,0.17157833353849128,39.33610999980981,0.0043618531049288015,229.2603569959798,refine,1111.998611666762
True,False,0.28,7,0,1,cnn_large,120.0,1.0,0.825,nan,0.058182488807488796,0.30897435897435893,0.9833333333333333,1.0581824888074889,0.16661416666465811,39.562368334979205,0.004211430550717198,237.4490064497685,refine,1111.8854824991772
True,False,0.28,7,2,1,cnn_large,120.0,1.0,0.825,nan,0.058182488807488796,0.30897435897435893,0.9833333333333333,1.0581824888074889,0.17522166866304661,39.83246166462777,0.004398966605135727,227.32611764602058,refine,1111.7504358343529
True,False,0.28,9,0,1,cnn_large,120.0,1.0,0.825,nan,0.058182488807488796,0.30897435897435893,0.9833333333333333,1.0581824888074889,0.16364000063428344,39.22748083156572,0.004171565371146774,239.71816597113457,refine,1112.052926250884
True,False,0.28,9,2,1,cnn_large,120.0,1.0,0.825,nan,0.058182488807488796,0.30897435897435893,0.9833333333333333,1.0581824888074889,0.17537333236153546,39.85370083464659,0.00440042778183038,227.25063325185283,refine,1111.7398162493434
True,False,0.30000000000000004,7,0,1,cnn_large,120.0,1.0,0.825,nan,0.058182488807488796,0.30897435897435893,0.9833333333333333,1.0581824888074889,0.16812749915213016,39.8334066660027,0.004220766266913967,236.92380405872478,refine,1111.7499633336654
True,False,0.30000000000000004,7,2,1,cnn_large,120.0,1.0,0.825,nan,0.058182488807488796,0.30897435897435893,0.9833333333333333,1.0581824888074889,0.16389333225864297,39.23341083306393,0.004177391890702553,239.38381319350435,refine,1112.0499612501349
True,False,0.30000000000000004,9,0,1,cnn_large,120.0,1.0,0.825,nan,0.058182488807488796,0.30897435897435893,0.9833333333333333,1.0581824888074889,0.16840833438133512,39.13819750062733,0.0043029149305773675,232.40059730063487,refine,1112.097567916353
True,False,0.30000000000000004,9,2,1,cnn_large,120.0,1.0,0.825,nan,0.058182488807488796,0.30897435897435893,0.9833333333333333,1.0581824888074889,0.16484333342911367,39.681831667500475,0.004154126120244616,240.7245160724959,refine,1111.8257508329166
True,False,0.33999999999999997,7,0,1,cnn_large,120.0,1.0,0.825,nan,0.058182488807488796,0.30897435897435893,0.9833333333333333,1.0581824888074889,0.18016249887296,39.044680000855195,0.004614264961808213,216.71924093585764,refine,1112.144326666239
